ID,event,int_unit,nonint_unit,int_unit,nonint_unit
1,1,52.85,47.54,53.19,47.39
1,2,54.93,45.47,51.44,49.12
2,1,43.63,56.37,43.01,56.99
2,2,43.63,56.37,43.01,56.99
3,1,49.42,50.58,50.87,49.13
3,2,49.43,50.57,50.86,49.14
4,1,52.43,47.57,49.13,50.87
4,2,52.43,47.57,49.13,50.87
5,1,49.65,50.35,49.52,50.48
5,2,49.65,50.35,49.52,50.48
6,1,51.67,48.33,51.44,48.56
6,2,51.67,48.33,51.44,48.56
7,1,53.44,46.56,52.85,47.15
7,2,53.44,46.56,52.85,47.15
8,1,39.06,60.94,39.79,60.21
8,2,39.06,60.94,39.79,60.2
9,1,49.62,50.38,50.56,49.44
9,2,49.62,50.38,50.56,49.44
10,1,46.23,53.77,44.42,55.58
10,2,46.23,53.77,44.42,55.58
11,1,39.79,60.2,38.02,61.98
11,2,39.79,60.2,38.02,61.98
12,1,49.18,50.82,50.87,49.13
12,2,49.18,50.81,50.87,49.13
13,1,53.97,46.03,53.64,46.36
13,2,53.97,46.03,53.64,46.36
14,1,51.26,48.74,50.36,49.64
14,2,51.26,48.74,50.36,49.64
15,1,52.03,47.98,51.07,48.93
15,2,52.03,47.98,51.07,48.93
16,1,51.02,48.98,50.65,49.35
16,2,51.02,48.98,50.65,49.35
