ID,event,int_unit,nonint_unit,int_unit,nonint_unit
1,1,78,21.96,77.35,22.64
1,2,78,21.96,77.35,22.64
2,1,88.57,11.42,87.21,12.78
2,2,88.57,11.42,87.21,12.78
3,1,86.13,13.86,84.56,15.43
3,2,86.13,13.86,84.56,15.43
4,1,86.68,13.31,85.52,14.47
4,2,86.68,13.31,85.52,14.47
5,1,91.82,8.17,91.1,8.89
5,2,91.82,8.17,91.1,8.89
6,1,88.53,11.46,85.33,14.66
6,2,88.53,11.46,85.33,14.66
7,1,77.42,22.57,75.46,24.53
7,2,77.42,22.57,75.46,24.53
8,1,83.75,16.24,81.95,18.04
8,2,83.75,16.24,81.95,18.04
