ID,event,int_unit,nonint_unit,int_unit,nonint_unit
1,1,34.6,65.39,33.46,66.53
1,2,34.6,65.39,33.46,66.53
2,1,16.92,83.07,16.19,83.85
2,2,16.92,83.07,16.19,83.85
3,1,24.18,75.81,23.57,76.42
3,2,24.18,75.81,23.57,76.42
4,1,42.64,57.35,71.44,58.55
4,2,42.64,57.35,71.44,58.55
5,1,26.75,73.24,26.22,73.77
5,2,26.75,73.24,26.22,73.77
6,1,20.95,79.04,19.04,80.95
6,2,20.95,79.04,19.04,80.95
7,1,22.47,77.52,19.65,80.34
7,2,22.47,77.52,19.66,80.33
8,1,10.91,89.08,10.19,89.8
8,2,10.91,89.08,10.19,89.8
