ID,condition,event,int_unit,nonint_unit,int_unit,nonint_unit
1,1,1,72.14,28.11,34.2,66.13
2,1,2,62.27,37.72,24.33,75.66
3,1,1,69.53,30.46,28.52,71.47
4,1,2,66.81,33.18,28.1,71.89
5,1,1,77.34,22.65,35.49,64.5
6,1,2,67.31,32.68,25.95,74
7,1,1,74,25.98,30.85,69.14
8,1,2,70.01,29.98,30.92,69.07
