ID,event,int_unit,nonint_unit,int_unit,nonint_unit
1,1,85.84,14.22,8.78,91.27
1,2,85.85,14.18,8.75,91.29
2,1,72,27.99,12.59,87.4
2,2,72,27.99,12.59,87.4
3,1,88.29,11.71,18.68,81.32
3,2,88.29,11.7,18.68,81.32
4,1,80.62,19.37,12.73,87.27
4,2,80.62,19.37,12.73,87.27
5,1,82.9,17.09,18.54,81.46
5,2,82.9,17.09,18.54,81.46
6,1,75.59,24.4,11.22,88.78
6,2,75.59,24.4,11.22,88.78
7,1,89.7,10.29,31.86,68.13
7,2,89.7,10.29,31.87,68.14
8,1,80.92,19.08,15.18,84.82
8,2,80.92,19.09,15.18,84.82
