ID,event,int_unit,nonint_unit,int_unit,nonint_unit
1,1,87.43,12.56,17.83,82.16
1,2,87.43,12.53,17.83,82.16
2,1,78.88,21.11,14.11,85.89
2,2,78.88,21.12,14.11,85.88
3,1,80,19.9,18.82,81.17
3,2,80,19.9,18.82,81.17
4,1,79.26,20.73,17.23,82.76
4,2,79.26,20.73,17.23,82.76
5,1,81.67,18.33,15.88,84.11
5,2,81.67,18.32,15.88,84.11
6,1,75.61,24.38,13.06,86.93
6,2,75.61,24.38,13.06,86.93
7,1,83.74,16.25,25.34,74.65
7,2,83.74,16.25,25.34,74.65
8,1,87.59,12.4,24.24,75.75
8,2,87.59,12.4,24.24,75.75
