ID,event,int_unit,nonint_unit,int_unit,nonint_unit
1,1,88.29,11.71,21.44,78.56
1,2,88.29,11.7,21.44,78.56
2,1,89.3,10.7,20.72,79.28
2,2,89.29,10.7,20.73,79.27
3,1,71.66,28.33,13.13,86.87
3,2,71.66,28.33,13.13,86.87
4,1,84.55,15.45,17.73,85.27
4,2,84.55,15.45,17.73,85.27
5,1,91.41,8.58,21.67,78.32
5,2,91.41,8.58,21.67,78.32
6,1,77.53,22.46,12.4,87.59
6,2,77.53,22.46,12.4,87.59
7,1,93.2,6.79,17.82,82.17
7,2,93.2,6.79,17.82,82.17
8,1,87.32,12.67,18.82,81.16
8,2,87.32,12.67,18.83,81.16
