ID,event,int_unit,nonint_unit,int_unit,nonint_unit
1,1,89.43,10.39,10.98,88.71
1,2,89.14,10.68,10.82,88.87
2,1,82,17.99,15.42,84.58
2,2,82,17.99,15.42,84.58
3,1,89.07,10.92,29.8,70.19
3,2,89.07,10.92,29.8,70.19
4,1,81.59,18.41,14.45,85.55
4,2,81.59,18.41,14.45,85.55
5,1,87.34,12.65,17.03,82.97
5,2,87.34,12.65,17.03,82.97
6,1,87.21,12.79,16.21,83.79
6,2,87.21,12.79,16.21,83.79
7,1,90.29,9.71,28.66,71.34
7,2,90.29,9.71,28.67,71.33
8,1,62.97,37.02,14.29,85.7
8,2,62.97,37.02,14.29,85.7
9,1,89.75,10.24,19.7,80.29
9,2,89.75,10.24,19.7,80.29
10,1,85.95,14.05,16.39,83.62
10,2,85.95,14.05,16.39,83.62
11,1,88.82,11.18,22.29,77.71
11,2,88.82,11.18,22.29,77.71
12,1,82.58,17.42,18.51,81.49
12,2,82.58,17.42,18.51,81.49
13,1,90.59,9.41,28.08,71.92
13,2,90.59,9.41,28.08,71.92
14,1,83.08,16.92,18.11,81.89
14,2,83.08,16.92,18.11,81.89
15,1,91.38,8.62,27.1,72.89
15,2,91.38,8.62,27.1,72.89
16,1,79.65,20.34,13.61,86.39
16,2,79.65,20.34,13.61,86.39
